tipo;endereço;latitude;longitude
fixo;Assaí Atacadista - São Raimundo;-5.105267491240016;-42.769084713606766
fixo;Assaí Atacadista - São Cristovão;-5.071446234400908;-42.77365980581741
fixo;Extra Mercado - Pio XII;-5.1180556;-42.8033333
fixo;Pão de Açucar - Centro;-5.0897548;-42.8092005
fixo;Shopping Rio Poty - Porequanto;-5.0772666;-42.8016954
fixo;Teresina Shopping;-5.0854285;-42.7902659
fixo;Pão de Açucar - São Cristovão;-5.080223699999999;-42.7808013
fixo;R. Anfrísio Lobão, 922 - Jóquei, Teresina - PI, 64049-280;-5.0742489;-42.7917824
fixo;Praça das Palmeiras - Bairro SACI;-5.1381114248125135;-42.80074037055945
fixo;Av. Homero Castelo Branco, 1945 - Jóquei, Teresina - PI, 64048-400;-5.080030226696331;-42.78060028910638
fixo;Parque Potycabana;-5.0863476;-42.790941
fixo;Espaço Rosa dos Ventos - UFPI;-5.0611936;-42.7959746
itinerante;Ponto 1;-5.04748576;-42.82296154
itinerante;Ponto 2;-5.04923089;-42.75206014
itinerante;Ponto 3;-5.09949166;-42.73918165
itinerante;Ponto 4;-5.18173959;-42.77865673
